protein1 protein2 combined_score
4932.Q0080 4932.YBR105C 282
4932.Q0080 4932.YPL271W 947
4932.Q0080 4932.YHR039C-A 720
4932.Q0080 4932.YOL077W-A 941
4932.Q0080 4932.YEL053C 325
4932.Q0080 4932.YGR020C 720
4932.Q0080 4932.YPR024W 345
4932.Q0080 4932.YDL185W 720
4932.Q0080 4932.YOR332W 720
4932.Q0080 4932.YDL005C 216
4932.Q0080 4932.YGR102C 619
4932.Q0080 4932.Q0045 876
4932.Q0080 4932.YMR054W 720
4932.Q0080 4932.YDR377W 958
4932.Q0080 4932.Q0140 895
4932.Q0080 4932.YJR121W 999
4932.Q0080 4932.YPL234C 720
4932.Q0080 4932.YEL027W 720
4932.Q0080 4932.YGR183C 250
4932.Q0080 4932.YDR462W 349
4932.Q0080 4932.YKL080W 720
4932.Q0080 4932.YPL078C 999
4932.Q0080 4932.YBL080C 599
4932.Q0080 4932.YMR135C 337
4932.Q0080 4932.YLR376C 274
4932.Q0080 4932.YDR374C 345
4932.Q0080 4932.YML009C 524
4932.Q0080 4932.YNL251C 197
4932.Q0080 4932.YDL004W 981
4932.Q0080 4932.YDL040C 252
4932.Q0080 4932.YOR211C 190
4932.Q0080 4932.YEL051W 720
4932.Q0085 4932.YJL191W 306
4932.Q0085 4932.YDR212W 167
4932.Q0085 4932.YOL143C 152
4932.Q0085 4932.YPL220W 230
4932.Q0085 4932.YEL050C 719
4932.Q0085 4932.YDL143W 167
4932.Q0085 4932.YML067C 319
4932.Q0085 4932.YDR270W 298
4932.Q0085 4932.YOL040C 258
4932.Q0085 4932.YCR031C 306
4932.Q0085 4932.YDL067C 219
4932.Q0085 4932.YML073C 360
4932.Q0085 4932.YBL039C 161
4932.Q0085 4932.YOR207C 365
4932.Q0085 4932.YLR448W 360
4932.Q0085 4932.YIL018W 437
4932.Q0085 4932.YKR080W 323
4932.Q0085 4932.YNL026W 257
4932.Q0085 4932.YIL142W 167
4932.Q0085 4932.YAR015W 198
4932.Q0085 4932.YJL111W 167
4932.Q0085 4932.YLR038C 858
4932.Q0085 4932.YBR127C 900
4932.Q0085 4932.YDR041W 163
4932.Q0085 4932.YGL123W 493
4932.Q0085 4932.YNL178W 978
4932.Q0085 4932.YBL038W 736
4932.Q0085 4932.YNL067W 184
4932.Q0085 4932.YNL251C 161
4932.Q0085 4932.YEL051W 915
4932.Q0085 4932.YHR148W 382
4932.Q0085 4932.YAL035W 475
4932.Q0085 4932.YBL022C 256
4932.Q0085 4932.YBL080C 201
4932.Q0085 4932.YNL290W 301
4932.Q0085 4932.YPR160W 172
4932.Q0085 4932.YGR220C 295
4932.Q0085 4932.YMR228W 554
4932.Q0085 4932.YHR008C 312
4932.Q0085 4932.YPL240C 152
4932.Q0085 4932.YDL201W 181
